,Model,Year,KM,Sell_Price,IsaPro?,Number,Mean_Price_Argus,Exceed_Mean_Price,lat,long
140,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,11003,17900,Pro,0422170181,16100.0,True,43.13824,5.987584399999999
141,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,13500,17990,Pro,0628436660,17700.0,True,43.835744,5.790916
142,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S ZEN ECO2,2014.0,8254,15990,Pro,0628436660,14200.0,True,43.835744,5.790916
143,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,17904,17700,Pro,0422170181,16100.0,True,43.13824,5.987584399999999
145,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,13998,16490,Pro,0628436660,16000.0,True,43.835744,5.790916
146,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,30000,16900,0,0.0,17700.0,False,43.329229,6.045799
147,Renault Captur DIESEL ZEN,2014.0,4250,16990,Pro,0494505185,16100.0,True,43.5377269,6.464993
148,Renault Captur DIESEL BUSINESS,2014.0,16800,15850,Pro,0.0,16850.0,False,43.6877482,7.2113605
151,Renault Captur ESSENCE INTENS,2013.0,16000,17000,0,0.0,16650.0,True,43.310184,6.640482
152,Renault Captur DIESEL INTENS,2013.0,9600,17500,0,0.0,17600.0,False,43.300771,5.3821768
153,Renault Captur ESSENCE 0.9 TCE 90 ENERGY ARIZONA ECO2,2013.0,11058,14990,Pro,0687808813,16100.0,False,43.5377269,6.464993
154,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S ZEN ECO2,2013.0,3895,14900,Pro,0422106388,14200.0,True,43.6023319,7.006491
155,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,11225,15990,Pro,0669509220,16000.0,False,43.43315200000001,6.737034
156,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,40000,16000,0,0.0,17700.0,False,43.746982,5.313600999999999
157,Renault Captur ESSENCE 1.2 TCE 120 ZEN EDC,2014.0,3962,16890,Pro,0608929780,16000.0,True,43.4212739,5.218332
158,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,5109,18290,Pro,0422170107,16000.0,True,43.5603151,7.0337141
159,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S LIFE ECO2,2014.0,10,16990,Pro,0.0,14600.0,True,43.591912,5.126824
160,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,5541,17899,Pro,0422170107,16000.0,True,43.5603151,7.0337141
161,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S ZEN ECO2,2014.0,4994,13900,Pro,0489613187,14200.0,False,43.6877482,7.2113605
162,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,7092,17900,Pro,0486877981,16100.0,True,43.94700419999999,4.8209596
163,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,11136,15990,Pro,0613920082,15500.0,True,43.45859799999999,5.249702999999999
164,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,5486,14990,Pro,0628436660,16000.0,False,43.835744,5.790916
165,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,18303,15990,Pro,0490188023,15500.0,True,43.6017739,4.624375100000001
166,Renault Captur ESSENCE INTENS,2013.0,24500,14800,0,0.0,16650.0,False,43.2731832,5.4306141
167,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,2719,16490,Pro,0687808813,15500.0,True,43.5377269,6.464993
169,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,18790,Pro,0494034780,17700.0,True,43.128777,6.017199
170,Renault Captur DIESEL 1.5 DCI 90 ZEN EDC,2014.0,3497,19490,Pro,0422170093,16200.0,True,43.663739,7.14882
171,Renault Captur ESSENCE INTENS,2013.0,20400,17800,0,0.0,16650.0,True,43.66283,5.435206
172,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,29361,16490,Pro,0422170107,16100.0,True,43.5603151,7.0337141
173,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,20598,17490,Pro,0811708090,16100.0,True,43.5388336,5.4044268
174,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,18566,17890,Pro,0811708090,16000.0,True,43.5388336,5.4044268
175,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S ZEN ECO2,2013.0,3333,15150,Pro,0811708090,14200.0,True,43.5388336,5.4044268
176,Renault Captur ESSENCE 1.2 TCE 120 INTENS EDC,2014.0,10,19790,Pro,0811708090,17800.0,True,43.5388336,5.4044268
178,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,8900,17990,Pro,0486877981,16100.0,True,43.94700419999999,4.8209596
179,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,13306,17990,Pro,0607135149,17700.0,True,44.1380989,4.807511
180,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,17300,17300,0,0.0,17700.0,False,43.4745483,4.914323899999999
181,Renault Captur DIESEL INTENS,2013.0,32000,16900,0,0.0,17600.0,False,43.5377269,6.464993
182,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,25746,16990,Pro,0494370125,16100.0,True,43.40655,6.061186999999999
183,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,5,19900,Pro,0683688779,17700.0,True,43.102976,5.878219
184,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S ZEN ECO2,2014.0,10,16900,Pro,0490066262,14200.0,True,43.8366045,5.0407814
185,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,23143,16490,Pro,0628436660,16000.0,True,43.835744,5.790916
186,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,19612,16900,Pro,0422170107,16100.0,True,43.5603151,7.0337141
187,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,20394,16900,Pro,0490421313,16100.0,True,43.640199,5.097022
189,Renault Captur DIESEL INTENS,2014.0,6500,19500,0,0.0,17600.0,True,43.3628362,5.3677844
190,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,2000,8500,Pro,0.0,16000.0,False,43.835465,4.944566
191,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,12758,17490,Pro,0494370125,17700.0,False,43.40655,6.061186999999999
192,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,27000,15500,0,0.0,16100.0,False,43.3753856,5.305022999999999
193,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S INTENS ECO2,2013.0,7846,16000,Pro,0.0,15500.0,True,43.128777,6.017199
194,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,22786,16990,Pro,0422170093,16100.0,True,43.663739,7.14882
195,Renault Captur DIESEL INTENS,2014.0,10,22490,Pro,0651782729,17600.0,True,43.5603151,7.0337141
196,Renault Captur DIESEL 1.5 DCI 90 INTENS EDC,2014.0,7455,19790,Pro,0608929780,17500.0,True,43.4212739,5.218332
197,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,1500,19950,0,0.0,17700.0,True,43.80604400000001,4.65752
199,Renault Captur DIESEL INTENS,2014.0,6000,18700,0,0.0,17600.0,True,43.429668,5.434832999999999
200,Renault Captur DIESEL INTENS,2014.0,2500,19200,0,0.0,17600.0,True,43.138042,6.368436
202,Renault Captur DIESEL,2013.0,39748,3900,Pro,0.0,16788.88888888889,False,43.487871,5.23463
203,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,8000,17500,0,0.0,16100.0,True,43.57655099999999,7.019019999999999
204,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,21500,Pro,0490064814,17700.0,True,43.8366045,5.0407814
206,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,25000,14600,0,0.0,16100.0,False,43.690787,5.908373999999999
207,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,10100,19900,0,0.0,17700.0,True,43.3649321,5.4253757
208,Renault Captur DIESEL INTENS,2014.0,8500,16990,Pro,0.0,17600.0,False,43.39450900000001,6.313233899999999
209,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,173,21500,Pro,0620230666,17700.0,True,43.9280929,4.886973999999999
210,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S INTENS ECO2,2013.0,8000,16500,0,0.0,15500.0,True,43.2926781,5.5676425
